run,psi_solve,u_solve,dt_solve,c_solve,s_solve,uMinMax_solve,uRMS_solve,uDiv_solve,dtU_solve,mD_solve,cMinMax_solve,fBoundary_solve,dtD_solve,mC_solve,sMinMax_solve,dtSigma_solve,f_solve,psi_write,u_write,dt_write,c_write,s_write,uMinMax_write,uRMS_write,uDiv_write,dtU_write,mD_write,cMinMax_write,fBoundary_write,dtD_write,mC_write,sMinMax_write,dtSigma_write,f_write
0.6438357870210893,0.06263549195136875,0.0010722000151872635,0.0002038140082731843,0.012697777012363076,0.0004753870307467878,0.017314476950559765,0.014743689971510321,0.014473201998043805,0.02621492400066927,0.012594835017807782,0.0004882100038230419,0.10087186598684639,0.013240247033536434,0.01284444599878043,0.0005078889662399888,0.011806063004769385,0.08020499302074313,0.01695834897691384,0.013985079945996404,0.015304393018595874,0.01347385800909251,0.002791986975353211,0.015884104010183364,0.01593959896126762,0.0166825819760561,0.01698701299028471,0.016642038011923432,0.016772025963291526,0.01684192899847403,0.016064704046584666,0.01594199298415333,0.016157920996192843,0.016311871993821114,0.016745547007303685
0.38663496304070577,0.050483794999308884,0.0010774470283649862,3.1464966014027596e-05,0.004076929995790124,0.0003706710413098335,0.003129303047899157,0.014783543010707945,0.012110201991163194,0.013019423990044743,0.01300078904023394,0.00043031899258494377,0.0952608180232346,0.01382557296892628,0.012642874964512885,0.0005744239897467196,0.014602006995119154,0.07413451303727925,0.014680022024549544,0.013734606967773288,0.0010736179538071156,0.014316154993139207,0.0011304279905743897,0.0010288560297340155,0.0010379310115240514,0.0010821199975907803,0.0011853090254589915,0.0010406380170024931,0.0009917760035023093,0.0010917619802057743,0.002090887981466949,0.0027275410247966647,0.001120205968618393,0.0013080170028842986,0.0014389530406333506
0.5143439790117554,0.1853772649774328,0.0010936559992842376,3.286998253315687e-05,0.005182655993849039,0.000609876005910337,0.0032671200460754335,0.01334800902986899,0.011506845999974757,0.013470673002302647,0.012144573032855988,0.00038190302439033985,0.091630233975593,0.013247860013507307,0.012208335974719375,0.0004658969701267779,0.012677614053245634,0.08028548397123814,0.01279007102129981,0.012437551049515605,0.0011798509513027966,0.01256210496649146,0.0012930069933645427,0.001373367034830153,0.0012012639781460166,0.001172221964225173,0.0010321569861844182,0.0011211599921807647,0.0009761640103533864,0.0010083360248245299,0.000976286013610661,0.0031432720134034753,0.0011012129834853113,0.0010395199642516673,0.001223895000293851
0.36747419799212366,0.044973178999498487,0.0011368670384399593,3.278802614659071e-05,0.0041393400169909,0.00038487999700009823,0.003290446999017149,0.013613256975077093,0.012383298017084599,0.012595073960255831,0.012251705978997052,0.00038714101538062096,0.09768301201984286,0.014388981042429805,0.012247249949723482,0.0003960049943998456,0.011763204995077103,0.0729076859424822,0.013121038035023957,0.01129454595502466,0.0010334550170227885,0.012306867982260883,0.0009687200072221458,0.0008705189684405923,0.000808999000582844,0.0008354280143976212,0.0008979400154203176,0.000995894952211529,0.0010856420267373323,0.0018409749609418213,0.0010983819956891239,0.0010912930010817945,0.0010410189861431718,0.000989919004496187,0.0009482289897277951
0.366367087000981,0.04579748201649636,0.0010807550279423594,3.282702527940273e-05,0.00428272201679647,0.0003775600343942642,0.0031155479955486953,0.013356866023968905,0.012118695012759417,0.011756409949157387,0.01256754097994417,0.0004426229861564934,0.09314843802712858,0.012815349036827683,0.01085712801432237,0.0003865369944833219,0.01245278597343713,0.07744382997043431,0.014813082991167903,0.011750245001167059,0.0009398549445904791,0.012366741022560745,0.001063869975041598,0.0009364699944853783,0.0008455479983240366,0.0008372400188818574,0.000874386983923614,0.0008203170145861804,0.001086100994143635,0.0019511799910105765,0.0009583939681760967,0.00082831596955657,0.0008918359526433051,0.0008125630556605756,0.0009936090209521353
0.378748329996597,0.04613432800397277,0.0010833569685928524,3.113702405244112e-05,0.004151378991082311,0.0003718750085681677,0.003908221027813852,0.013350348977837712,0.01224406500114128,0.01291740796295926,0.011090126994531602,0.0003760510007850826,0.09578954498283565,0.014327726035844535,0.012531547981780022,0.0004505090182647109,0.013105569989420474,0.07922825700370595,0.012988445989321917,0.012411130999680609,0.0010325830080546439,0.013591505994554609,0.001219230005517602,0.0010956019978038967,0.0012756820069625974,0.0012513750116340816,0.0011717909947037697,0.0010912769939750433,0.0009593149879947305,0.0010657479870133102,0.0013114669709466398,0.0011109350016340613,0.0010088129783980548,0.0013995759654790163,0.0017952059861272573
0.4619860149687156,0.07385998597601429,0.0010675679659470916,0.04170407395577058,0.0045030920300632715,0.0004832650301977992,0.003340266994200647,0.01471436396241188,0.014137800026219338,0.012866585981100798,0.011234816978685558,0.00037684099515900016,0.10923071898287162,0.014135000994428992,0.013481187052093446,0.0006805779994465411,0.011918621021322906,0.07754924200708047,0.013086182007100433,0.011955243011470884,0.001379110966809094,0.011525711044669151,0.0012244509998708963,0.0010817250004038215,0.00203588797012344,0.0010162090184167027,0.0010033930302597582,0.0008580050198361278,0.0009960709721781313,0.001086816017050296,0.0021416889503598213,0.00210200302535668,0.0010643239947967231,0.0008045979775488377,0.0008175240363925695
0.4622781400103122,0.060177659965120256,0.0012542249751277268,0.0444462500163354,0.0046284489799290895,0.0004048380069434643,0.004812078957911581,0.015019420010503381,0.014294054999481887,0.01314110099337995,0.012486684019677341,0.00039100099820643663,0.09489260899135843,0.015123213990591466,0.013037863012868911,0.0003770120092667639,0.013630212983116508,0.072292334982194,0.013148466998245567,0.021995774994138628,0.001406322990078479,0.025714226998388767,0.0016008869861252606,0.001179917948320508,0.0012120489845983684,0.000983377976808697,0.0009227939881384373,0.0012387960450723767,0.003201729035936296,0.0019325889879837632,0.0012311519822105765,0.0010179190430790186,0.0009701269445940852,0.001217096985783428,0.0010414880234748125
0.7483448960119858,0.0618619269807823,0.0012295640190131962,0.04026961699128151,0.005411104008089751,0.00040548498509451747,0.0035740960156545043,0.013796452025417238,0.014709070965182036,0.07427010696846992,0.1106339159887284,0.0004133129841648042,0.15805212798295543,0.01644181099254638,0.012393991986755282,0.000414456008002162,0.019818163011223078,0.1269774420070462,0.04239018104271963,0.013252726988866925,0.0011435159831307828,0.012753587041515857,0.0011890589958056808,0.0011230999953113496,0.0010356639977544546,0.0009913519606925547,0.0009774190257303417,0.0009993989951908588,0.001104602008126676,0.001149359974078834,0.0030474390368908644,0.0011043249978683889,0.0011600659927353263,0.001156079990323633,0.0013369590160436928
0.6548379660234787,0.08035586203914136,0.0012083020410500467,0.06311406299937516,0.00437041197437793,0.00042521097930148244,0.012284286029171199,0.01947528700111434,0.014544336998369545,0.023241975053679198,0.05046177294570953,0.00040218100184574723,0.15164182102307677,0.014554440975189209,0.020258098025806248,0.00039185601053759456,0.013404264987912029,0.0998466219753027,0.016317926987539977,0.020792709954548627,0.004137437033932656,0.01549443299882114,0.0013119689538143575,0.0013191860052756965,0.001214415009599179,0.0021602839697152376,0.004431599983945489,0.007206714013591409,0.001247850013896823,0.0013572999741882086,0.0011733649880625308,0.0012806510203517973,0.0011611710069701076,0.0012660829816013575,0.0012196070165373385
